日期,主题,标的,方向,原文定位,关键催化,参考材料,当前位置判断,交易表达,风险点,交易提示,下次复盘日期,备注
2026-05-19,Token三模式框架,算力租赁/Token工厂/Token运营链,AI基础设施商业模式,"圈内专题将算力租赁、Token工厂和Token运营拆成三种不同商业模式，强调Token生产效率","模型应用落地；Token生产效率；运营商聚合；算力租赁升级；Token分成","专题原文；公司公告；客户合同；分成机制；Token定价；利用率；财报收入确认","不适用",低位多看逻辑,"模式混淆；财务测算假设过多；收入确认不清；运营商概念扩散过度",低位关注产业逻辑和基本面,2026-08-31,"5月19日只有链接摘要和网盘文件，未读取外部全文，先作为商业模式源头框架"
2026-05-15,茂莱官网光通信布局,茂莱光学,CPO/OCS/FSO/硅光封装/光通信检测,"公司官网正式披露光通信业务方向，被作者定义为下一代光通信铲子股","官网光通信页面；数据中心高速光电互连；硅光器件封装；光电共封装；OCS；FSO；空间光通信","公司官网；公告；投资者关系记录；客户认证；订单；收入分项；毛利率","官网方向更清晰，但不等于订单",高位多看图；趋势保持留,"官网表述不等于客户下单；北美客户传闻；收入体量小；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-08-31,"承接5月6日至13日茂莱光刻机光学和北美光通信线索，后续看官网方向是否转化为订单"
2026-05-15,半导体零部件历史性机遇,富创精密/珂玛科技/恒运昌/京仪装备/新莱应材,先进制程零部件/设备配套,"作者将零部件定义为先进制程扩产核心瓶颈，强调海外交期拉长和订单外溢","全球晶圆扩产；海外龙头扩产慢；零部件交期拉长；国产替代；两存和先进逻辑扩产","财报；合同负债；订单；海外收入；毛利率；客户认证；交期数据；设备厂订单","板块关注度提升后需进入财报验证",高位多看图；趋势保持留,"远期空间测算激进；订单口径不清；扩产后供给释放；客户压价；估值提前反映",趋势未破时跟踪量价,2026-08-31,"作为5月15日零部件源头框架，后续6月已有多次延续"
2026-05-15,中芯电话会AI需求,中芯国际/先进制程设备材料链,晶圆代工/先进制程/AI需求,"原文称中芯国际电话会提到AI需求膨胀，比此前预想更多","AI芯片需求；先进制程扩产；成熟制程配套；设备材料订单","电话会纪要；公司公告；财报；ASP；产能利用率；资本开支；设备招标","不适用",低位多看逻辑,"单句口径缺完整上下文；需求无法转化为产能；良率和成本压力；估值提前反映",低位关注产业逻辑和基本面,2026-08-31,"需核电话会原文，不能仅凭圈内转述判断需求斜率"
2026-05-15,算力租赁阶段演进,协创数据/利通电子/宏景科技/算力租赁链,算力租赁/Token效率/垂直应用,"成员总结算力租赁前期拼拿卡，中期拼Token效率，后期需形成行业应用壁垒，作者强调不要迷信宏大叙事","高端卡供给变化；Token效率；CSP自建；行业大模型应用；客户壁垒","公司公告；客户合同；利用率；租金价格；行业应用订单；财报收入；现金流","高位趋势阶段需重视商业模式验证",趋势破位走；止盈止损,"CSP自建挤压；租金下行；折旧和融资压力；行业应用落地慢；高位破位",条件式退出或利润保护,2026-08-31,"作为算力租赁从资源驱动转向效率和应用壁垒的交易纪律记录"
2026-05-14,硅光Fab/先进逻辑,燕东微,晶圆代工/硅光/先进逻辑,"硅光存储先进逻辑三重共振，弹性被重新强调","8英寸硅光量产；12英寸突破；北京永芯先进逻辑；存储配套","公司公告；工艺平台资料；项目备案；客户订单；资产关系","已有涨幅需看资产边界",低位多看逻辑,"北京永芯不在体内；资产注入不确定；订单和收入不透明",低位关注产业逻辑和基本面,,
2026-05-14,硅光Fab/代工,卓胜微,SiGe/SOI硅光代工,"中国版Tower叙事继续发酵，但作者提示技术认证和产品定型仍早","12寸SiGe+SOI平台；TIA/Driver；CW光源；光通信全链条想象","公司公告；客户验证；硅光订单；收入分项；工艺平台资料","涨幅已反映部分预期",高位多看图；趋势保持留,"硅光订单遥远；概念映射过度；主业周期波动；趋势破位",趋势未破时跟踪量价,,
2026-05-14,半导体设备零部件,富创精密,先进制程零部件,"海外零部件交期拉长和订单外溢，产能为王逻辑强化，富创被视为前期激进扩产的核心受益龙头","海外客户订单增长；全球扩产；7nm以下零部件；产能布局","财报；订单；合同负债；客户结构；毛利率；产能利用率；年报对先进制程量产能力的披露","已有关注度提升",低位多看逻辑,"客户拉货周期；产能利用率不足；毛利率波动；估值提前反映",低位关注产业逻辑和基本面,,"公开资料可验证7nm及以下零部件量产能力，但50%+海外订单增速仍待核验"
2026-05-14,半导体零部件出海,珂玛科技/新莱应材,陶瓷零部件/洁净零部件,"北美客户订单和海外订单改善被作为零部件景气佐证，但当前更偏富创逻辑的侧面验证","北美订单翻倍；海外客户订单改善；交付周期拉长","财报；客户结构；合同负债；出口收入；机构调研；投资者关系活动记录","待补充",低位多看逻辑,"订单口径不清；业务占比；海外客户拉货波动；概念映射过度",低位关注产业逻辑和基本面,,"新莱已披露一季度营收7.68亿元、归母净利5284.76万元，但未直接确认海外L客户订单改善"
2026-05-14,H200放开与分销商授权,H200/AIDC链,算力供给,"Reuters称约10家中国企业获批购买H200，点名阿里、腾讯、字节、京东，并称联想和富士康等分销商获授权但尚无交付","BIS许可框架；Reuters买方名单；云厂采购；AIDC上架率；国产卡配比","BIS政策；许可文件；海关；云厂采购；供应链订单；权威媒体；公司披露","许可框架部分验证，但交付和采购量级未落地",提示机会；观察催化,"交付不确定；量级不及预期；监管限制；国产链情绪扰动；短线过度交易",提示机会，观察事件催化,,"由截图传闻升级为Reuters权威媒体报道+BIS许可框架；仍需跟踪实际交付、采购量和是否要求国产卡配比"
2026-05-14,先进封装检测,骄成超声,SAM/超声固晶机,"长存长鑫关键客户突破，先进封装检测弹性被上修","SAM设备；超声固晶机批量订单；耗材；两存扩产","公告；订单；招投标；客户验证；收入分项；耗材占比","设备板块主升背景下需看订单兑现",高位多看图；趋势保持留,"市值测算假设多；订单传闻；客户验证周期；估值提前反映",趋势未破时跟踪量价,,
2026-05-14,Krf DUV/长存导入,茂莱光学/芯源微,光刻光学/涂胶显影,"Krf DUV光刻机台及第四代Krf涂胶显影设备被称完成长存工艺验证","长存扩产；Krf DUV；涂胶显影；国产导入","长存招投标；公司公告；客户验证；设备交付；调研纪要","已有涨幅需看验证和订单",高位多看图；趋势保持留,"客户传闻；收入体量不明；导入节奏慢；估值提前反映",趋势未破时跟踪量价,,
2026-05-14,AIDC/股权变化,世纪互联,AIDC,"宁德时代入股并取代山高成为单一最大股东，被视为AIDC边际催化","股权变化；AIDC资源；储能电力协同；美股映射","公司公告；SEC文件；股权变更；战略合作；财报","事件催化后需看协同兑现",提示机会；观察催化,"短期涨幅过大；协同不确定；境外市场映射波动",提示机会，观察事件催化,,
2026-05-20,Token工厂/大厂合作,润建股份,Token工厂/数据中心运维,"作者称润建与字节合作、一期价值和二期扩容仍未充分反映，同时可能受5090禁入扰动","字节合作；Token分成；一期利润；二期扩容；三大运营商数据中心运维","公司公告；投资者关系记录；客户合同；项目备案；能评环评；卡源合规；运营商订单","高位需看趋势量价和兑现证据",高位多看图；趋势保持留,"客户未公开披露；卡源和进口政策扰动；项目延期；估值提前反映；趋势破位",趋势未破时跟踪量价,,"承接5月14日润建专项，新增5090禁入和运营商运维铲子股线索"
2026-05-20,昇腾总代/国产算力分销,深圳华强,昇腾总代/存储代理,"可能拿到昇腾总代，叠加存储代理商基本面","昇腾分销机制；国产算力采购转向总代；存储需求爆发","华为授权名单；公司公告；合同订单；收入分项；毛利率；存储代理数据","相对低位分歧后需看授权落地",提示机会；观察催化,"总代资格未确认；分销毛利率低；库存和资金压力；主题交易过热",提示机会，观察事件催化,,
2026-05-20,昇腾总代/国产算力分销,神州数码,昇腾整机/总代分销,"可能拿到昇腾总代，原有昇腾整机伙伴逻辑继续强化","昇腾单卡/板卡分销；整机订单；国产算力采购放量","华为授权名单；公司公告；昇腾订单；财报收入分项；毛利率","待补充",低位多看逻辑,"分销利润率低；订单不透明；库存周期；估值提前反映",低位关注产业逻辑和基本面,,
